"IN"	"108"	"415.0"	"No"	"No"	"0.0"	"201.1"	"101.0"	"34.19"	"170.7"	"86.0"	"14.51"	"237.4"	"609.1999999999999"	"113.0"	"300.0"	"10.68"	"11.6"	"3.0"	"3.13"	"3.0"	"False"	"IN"	"100.0"	"415.0"	"No"	"Yes"	"32.0"	"125.2"	"123.0"	"21.28"	"230.9"	"101.0"	"19.63"	"192.0"	"106.0"	"8.64"	"12.6"	"9.0"	"3.4"	"3.0"	"False"
"OH"	"106"	"415.0"	"No"	"No"	"0.0"	"158.6"	"112.0"	"26.96"	"220.0"	"114.0"	"18.7"	"252.9"	"631.5"	"106.0"	"332.0"	"11.38"	"9.1"	"3.0"	"2.46"	"0.0"	"False"	"OH"	"146.0"	"415.0"	"No"	"No"	"0.0"	"169.5"	"93.0"	"28.82"	"230.9"	"71.0"	"19.63"	"269.8"	"115.0"	"12.14"	"9.0"	"7.0"	"2.43"	"2.0"	"False"
"NM"	"117"	"415.0"	"No"	"No"	"0.0"	"143.3"	"103.0"	"24.36"	"211.3"	"108.0"	"17.96"	"185.2"	"539.8"	"96.0"	"307.0"	"8.33"	"11.5"	"3.0"	"3.11"	"1.0"	"False"	"NM"	"105.0"	"415.0"	"No"	"No"	"0.0"	"193.7"	"108.0"	"32.93"	"183.2"	"124.0"	"15.57"	"293.7"	"72.0"	"13.22"	"10.8"	"5.0"	"2.92"	"1.0"	"False"
"OH"	"143"	"415.0"	"No"	"No"	"0.0"	"223.3"	"99.0"	"37.96"	"167.1"	"128.0"	"14.2"	"203.0"	"593.4"	"84.0"	"311.0"	"9.14"	"4.5"	"4.0"	"1.22"	"0.0"	"True"	"OH"	"162.0"	"415.0"	"No"	"No"	"0.0"	"135.2"	"98.0"	"22.98"	"242.0"	"107.0"	"20.57"	"246.9"	"96.0"	"11.11"	"10.2"	"2.0"	"2.75"	"2.0"	"False"
"WY"	"95"	"415.0"	"No"	"Yes"	"39.0"	"260.8"	"130.0"	"44.34"	"213.4"	"111.0"	"18.14"	"195.6"	"669.8000000000001"	"97.0"	"338.0"	"8.8"	"10.1"	"5.0"	"2.73"	"1.0"	"False"	"WY"	"111.0"	"415.0"	"No"	"No"	"0.0"	"146.2"	"55.0"	"24.85"	"261.5"	"83.0"	"22.23"	"163.2"	"116.0"	"7.34"	"8.7"	"3.0"	"2.35"	"3.0"	"False"
"AZ"	"59"	"408.0"	"No"	"No"	"0.0"	"150.2"	"70.0"	"25.53"	"185.7"	"98.0"	"15.78"	"212.5"	"548.4"	"128.0"	"296.0"	"9.56"	"12.1"	"2.0"	"3.27"	"1.0"	"False"	"AZ"	"117.0"	"408.0"	"No"	"No"	"0.0"	"239.9"	"84.0"	"40.78"	"174.8"	"106.0"	"14.86"	"209.5"	"93.0"	"9.43"	"9.8"	"2.0"	"2.65"	"0.0"	"False"
"OR"	"48"	"415.0"	"No"	"No"	"0.0"	"190.4"	"92.0"	"32.37"	"317.5"	"85.0"	"26.99"	"133.4"	"641.3"	"113.0"	"290.0"	"6.0"	"8.3"	"4.0"	"2.24"	"2.0"	"False"	"OR"	"95.0"	"415.0"	"No"	"No"	"0.0"	"269.0"	"120.0"	"45.73"	"233.7"	"120.0"	"19.86"	"179.3"	"61.0"	"8.07"	"7.3"	"4.0"	"1.97"	"2.0"	"True"
"FL"	"185"	"408.0"	"No"	"No"	"0.0"	"55.6"	"97.0"	"9.45"	"288.7"	"83.0"	"24.54"	"111.2"	"455.5"	"110.0"	"290.0"	"5.0"	"12.1"	"3.0"	"3.27"	"2.0"	"False"	"FL"	"136.0"	"408.0"	"Yes"	"No"	"0.0"	"199.2"	"122.0"	"33.86"	"214.7"	"114.0"	"18.25"	"150.9"	"105.0"	"6.79"	"11.8"	"7.0"	"3.19"	"1.0"	"False"
"CT"	"93"	"415.0"	"No"	"No"	"0.0"	"271.1"	"101.0"	"46.09"	"237.4"	"133.0"	"20.18"	"145.4"	"653.9"	"103.0"	"337.0"	"6.54"	"8.4"	"6.0"	"2.27"	"1.0"	"True"	"CT"	"96.0"	"415.0"	"No"	"Yes"	"37.0"	"172.7"	"93.0"	"29.36"	"120.1"	"116.0"	"10.21"	"216.1"	"86.0"	"9.72"	"10.3"	"5.0"	"2.78"	"5.0"	"True"
"VA"	"141"	"415.0"	"No"	"No"	"0.0"	"217.1"	"110.0"	"36.91"	"241.5"	"111.0"	"20.53"	"253.5"	"712.1"	"103.0"	"324.0"	"11.41"	"12.0"	"6.0"	"3.24"	"0.0"	"False"	"VA"	"121.0"	"415.0"	"No"	"No"	"0.0"	"134.1"	"112.0"	"22.8"	"195.1"	"104.0"	"16.58"	"159.6"	"139.0"	"7.18"	"10.5"	"2.0"	"2.84"	"2.0"	"False"
"WA"	"76"	"510.0"	"Yes"	"No"	"0.0"	"246.8"	"110.0"	"41.96"	"206.3"	"63.0"	"17.54"	"208.4"	"661.5"	"123.0"	"296.0"	"9.38"	"13.2"	"5.0"	"3.56"	"0.0"	"True"	"WA"	"13.0"	"510.0"	"No"	"Yes"	"25.0"	"176.6"	"65.0"	"30.02"	"172.7"	"96.0"	"14.68"	"104.5"	"128.0"	"4.7"	"11.3"	"5.0"	"3.05"	"2.0"	"False"
"KY"	"96"	"415.0"	"No"	"Yes"	"40.0"	"108.6"	"90.0"	"18.46"	"206.4"	"154.0"	"17.54"	"126.3"	"441.3"	"118.0"	"362.0"	"5.68"	"13.4"	"4.0"	"3.62"	"0.0"	"False"	"KY"	"122.0"	"415.0"	"No"	"No"	"0.0"	"168.3"	"96.0"	"28.61"	"87.6"	"91.0"	"7.45"	"247.2"	"87.0"	"11.12"	"8.4"	"6.0"	"2.27"	"1.0"	"False"
"WV"	"144"	"415.0"	"No"	"No"	"0.0"	"201.1"	"99.0"	"34.19"	"303.5"	"74.0"	"25.8"	"224.0"	"728.6"	"119.0"	"292.0"	"10.08"	"13.2"	"2.0"	"3.56"	"1.0"	"False"	"WV"	"107.0"	"415.0"	"No"	"No"	"0.0"	"123.1"	"100.0"	"20.93"	"158.4"	"82.0"	"13.46"	"256.1"	"82.0"	"11.52"	"9.3"	"5.0"	"2.51"	"0.0"	"False"
"WA"	"177"	"415.0"	"No"	"No"	"0.0"	"266.1"	"91.0"	"45.24"	"225.2"	"79.0"	"19.14"	"224.7"	"716.0"	"58.0"	"228.0"	"10.11"	"8.9"	"8.0"	"2.4"	"3.0"	"True"	"WA"	"161.0"	"415.0"	"No"	"No"	"0.0"	"151.6"	"117.0"	"25.77"	"219.4"	"87.0"	"18.65"	"224.7"	"68.0"	"10.11"	"4.0"	"5.0"	"1.08"	"1.0"	"False"
"VA"	"50"	"415.0"	"Yes"	"No"	"0.0"	"99.6"	"108.0"	"16.93"	"308.7"	"102.0"	"26.24"	"161.2"	"569.5"	"62.0"	"272.0"	"7.25"	"13.7"	"6.0"	"3.7"	"2.0"	"True"	"VA"	"121.0"	"415.0"	"No"	"No"	"0.0"	"134.1"	"112.0"	"22.8"	"195.1"	"104.0"	"16.58"	"159.6"	"139.0"	"7.18"	"10.5"	"2.0"	"2.84"	"2.0"	"False"
"MD"	"51"	"510.0"	"No"	"Yes"	"28.0"	"276.7"	"121.0"	"47.04"	"203.7"	"99.0"	"17.31"	"246.2"	"726.5999999999999"	"88.0"	"308.0"	"11.08"	"8.3"	"3.0"	"2.24"	"0.0"	"False"	"MD"	"133.0"	"510.0"	"No"	"No"	"0.0"	"295.0"	"141.0"	"50.15"	"223.6"	"101.0"	"19.01"	"229.4"	"109.0"	"10.32"	"12.9"	"4.0"	"3.48"	"2.0"	"True"
"NJ"	"64"	"510.0"	"No"	"No"	"0.0"	"162.6"	"83.0"	"27.64"	"152.3"	"109.0"	"12.95"	"57.5"	"372.4"	"122.0"	"314.0"	"2.59"	"14.2"	"3.0"	"3.83"	"1.0"	"False"	"NJ"	"45.0"	"510.0"	"No"	"No"	"0.0"	"155.7"	"110.0"	"26.47"	"260.3"	"103.0"	"22.13"	"192.2"	"98.0"	"8.65"	"11.0"	"1.0"	"2.97"	"1.0"	"False"
"WV"	"109"	"415.0"	"No"	"No"	"0.0"	"180.0"	"100.0"	"30.6"	"229.0"	"103.0"	"19.47"	"139.4"	"548.4"	"105.0"	"308.0"	"6.27"	"7.8"	"8.0"	"2.11"	"3.0"	"False"	"WV"	"73.0"	"415.0"	"No"	"No"	"0.0"	"240.3"	"130.0"	"40.85"	"162.5"	"83.0"	"13.81"	"231.9"	"136.0"	"10.44"	"11.9"	"3.0"	"3.21"	"0.0"	"False"
"WV"	"145"	"415.0"	"No"	"No"	"0.0"	"129.4"	"97.0"	"22.0"	"185.4"	"101.0"	"15.76"	"204.7"	"519.5"	"106.0"	"304.0"	"9.21"	"1.1"	"2.0"	"0.3"	"2.0"	"False"	"WV"	"107.0"	"415.0"	"No"	"No"	"0.0"	"123.1"	"100.0"	"20.93"	"158.4"	"82.0"	"13.46"	"256.1"	"82.0"	"11.52"	"9.3"	"5.0"	"2.51"	"0.0"	"False"
"NH"	"100"	"408.0"	"No"	"No"	"0.0"	"218.8"	"125.0"	"37.2"	"148.3"	"102.0"	"12.61"	"277.8"	"644.9000000000001"	"97.0"	"324.0"	"12.5"	"9.7"	"6.0"	"2.62"	"1.0"	"False"	"NH"	"123.0"	"408.0"	"No"	"No"	"0.0"	"224.0"	"99.0"	"38.08"	"210.7"	"80.0"	"17.91"	"231.9"	"75.0"	"10.44"	"2.1"	"5.0"	"0.57"	"0.0"	"False"
"WV"	"93"	"415.0"	"No"	"No"	"0.0"	"141.7"	"95.0"	"24.09"	"221.0"	"100.0"	"18.79"	"227.1"	"589.8"	"71.0"	"266.0"	"10.22"	"10.2"	"3.0"	"2.75"	"0.0"	"False"	"WV"	"73.0"	"415.0"	"No"	"No"	"0.0"	"240.3"	"130.0"	"40.85"	"162.5"	"83.0"	"13.81"	"231.9"	"136.0"	"10.44"	"11.9"	"3.0"	"3.21"	"0.0"	"False"
"LA"	"172"	"408.0"	"No"	"No"	"0.0"	"212.0"	"121.0"	"36.04"	"31.2"	"115.0"	"2.65"	"293.3"	"536.5"	"78.0"	"314.0"	"13.2"	"12.6"	"10.0"	"3.4"	"3.0"	"False"	"LA"	"117.0"	"408.0"	"No"	"No"	"0.0"	"184.5"	"97.0"	"31.37"	"351.6"	"80.0"	"29.89"	"215.8"	"90.0"	"9.71"	"8.7"	"4.0"	"2.35"	"1.0"	"False"
"OR"	"95"	"415.0"	"No"	"No"	"0.0"	"167.6"	"96.0"	"28.49"	"176.0"	"89.0"	"14.96"	"250.9"	"594.5"	"113.0"	"298.0"	"11.29"	"13.4"	"6.0"	"3.62"	"2.0"	"False"	"OR"	"138.0"	"415.0"	"Yes"	"Yes"	"28.0"	"211.2"	"117.0"	"35.9"	"312.5"	"98.0"	"26.56"	"178.0"	"118.0"	"8.01"	"10.7"	"2.0"	"2.89"	"3.0"	"True"
"MT"	"121"	"408.0"	"No"	"No"	"0.0"	"213.2"	"79.0"	"36.24"	"120.7"	"116.0"	"10.26"	"244.4"	"578.3"	"102.0"	"297.0"	"11.0"	"7.5"	"4.0"	"2.03"	"1.0"	"False"	"MT"	"109.0"	"408.0"	"No"	"No"	"0.0"	"264.7"	"69.0"	"45.0"	"305.0"	"120.0"	"25.93"	"197.4"	"86.0"	"8.88"	"9.5"	"9.0"	"2.57"	"1.0"	"True"
"WV"	"43"	"408.0"	"No"	"No"	"0.0"	"230.2"	"147.0"	"39.13"	"186.7"	"121.0"	"15.87"	"128.4"	"545.3"	"100.0"	"368.0"	"5.78"	"9.2"	"3.0"	"2.48"	"0.0"	"False"	"WV"	"153.0"	"408.0"	"No"	"Yes"	"28.0"	"235.6"	"74.0"	"40.05"	"227.9"	"37.0"	"19.37"	"170.3"	"103.0"	"7.66"	"15.4"	"9.0"	"4.16"	"0.0"	"False"
"WY"	"104"	"415.0"	"No"	"No"	"0.0"	"138.7"	"100.0"	"23.58"	"215.4"	"58.0"	"18.31"	"164.3"	"518.4000000000001"	"98.0"	"256.0"	"7.39"	"4.9"	"4.0"	"1.32"	"2.0"	"False"	"WY"	"111.0"	"415.0"	"No"	"No"	"0.0"	"146.2"	"55.0"	"24.85"	"261.5"	"83.0"	"22.23"	"163.2"	"116.0"	"7.34"	"8.7"	"3.0"	"2.35"	"3.0"	"False"
"TX"	"87"	"415.0"	"No"	"No"	"0.0"	"169.1"	"105.0"	"28.75"	"169.9"	"102.0"	"14.44"	"244.9"	"583.9"	"106.0"	"313.0"	"11.02"	"9.9"	"10.0"	"2.67"	"3.0"	"False"	"TX"	"126.0"	"415.0"	"No"	"No"	"0.0"	"190.9"	"143.0"	"32.45"	"149.7"	"72.0"	"12.72"	"191.4"	"87.0"	"8.61"	"13.0"	"3.0"	"3.51"	"1.0"	"False"
"NE"	"126"	"415.0"	"No"	"No"	"0.0"	"249.8"	"96.0"	"42.47"	"261.9"	"92.0"	"22.26"	"166.8"	"678.5"	"108.0"	"296.0"	"7.51"	"12.7"	"4.0"	"3.43"	"3.0"	"True"	"NE"	"117.0"	"415.0"	"No"	"No"	"0.0"	"102.8"	"119.0"	"17.48"	"206.7"	"91.0"	"17.57"	"299.0"	"105.0"	"13.46"	"10.1"	"7.0"	"2.73"	"1.0"	"False"
"NE"	"66"	"415.0"	"No"	"No"	"0.0"	"34.0"	"133.0"	"5.78"	"278.6"	"61.0"	"23.68"	"129.6"	"442.20000000000005"	"120.0"	"314.0"	"5.83"	"11.5"	"3.0"	"3.11"	"0.0"	"False"	"NE"	"67.0"	"415.0"	"No"	"Yes"	"41.0"	"174.7"	"86.0"	"29.7"	"160.6"	"93.0"	"13.65"	"155.3"	"108.0"	"6.99"	"13.4"	"1.0"	"3.62"	"0.0"	"False"
"KS"	"68"	"510.0"	"No"	"No"	"0.0"	"159.5"	"123.0"	"27.12"	"240.8"	"93.0"	"20.47"	"210.3"	"610.6"	"76.0"	"292.0"	"9.46"	"11.4"	"3.0"	"3.08"	"1.0"	"False"	"KS"	"186.0"	"510.0"	"No"	"No"	"0.0"	"137.8"	"97.0"	"23.43"	"187.7"	"118.0"	"15.95"	"146.4"	"85.0"	"6.59"	"8.7"	"6.0"	"2.35"	"1.0"	"False"
"NM"	"103"	"415.0"	"No"	"No"	"0.0"	"173.5"	"83.0"	"29.5"	"244.3"	"65.0"	"20.77"	"221.6"	"639.4"	"66.0"	"214.0"	"9.97"	"9.7"	"2.0"	"2.62"	"3.0"	"False"	"NM"	"178.0"	"415.0"	"No"	"Yes"	"35.0"	"175.4"	"88.0"	"29.82"	"190.0"	"65.0"	"16.15"	"138.7"	"94.0"	"6.24"	"10.5"	"3.0"	"2.84"	"2.0"	"False"
"AL"	"122"	"415.0"	"No"	"No"	"0.0"	"232.5"	"96.0"	"39.53"	"205.5"	"120.0"	"17.47"	"213.7"	"651.7"	"91.0"	"307.0"	"9.62"	"11.9"	"2.0"	"3.21"	"0.0"	"False"	"AL"	"85.0"	"415.0"	"No"	"No"	"0.0"	"210.3"	"66.0"	"35.75"	"195.8"	"76.0"	"16.64"	"221.6"	"82.0"	"9.97"	"11.2"	"7.0"	"3.02"	"1.0"	"False"
